文库仿真,wénkùfǎngzhēn,simulation
数值,shùzhí,numerical
飞机,fēijī,aircraft
卫星,wèixīng,satellite
发动机,fādòngjī,engine
飞行,fēixíng,flight
流动,líudòng,flow
可靠性,kěkàoxìng,reliability
火箭,huǒjiàn,rocket
流场,líucháng,flow
空间,kōngjiān,space
姿态,zītài,attitude
非线性,fēixiànxìng,nonlinear
推进剂,tūijìnjì,propellant
固体,gùtǐ,solid
直升机,zhíshēngjī,helicopter
导航,dǎoháng,navigation
火箭发动机,huǒjiànfādòngjī,rocket
换热,huànrè,heat
复合材料,fùhécáiliào,composite
气动,qìdòng,aerodynamic
燃烧,ránshāo,combustion
传热,chuánrè,heat
疲劳,píláo,fatigue
航天器,hángtiānqì,spacecraft
风洞,fēngdòng,tunnel
喷管,pēnguǎn,nozzle
叶片,yèpiàn,blade
地面,dìmiàn,ground
涡轮,wōlún,turbine
航空,hángkōng,aviation
湍流,tuānlíu,turbulent
机场,jīcháng,airport
神经网络,shénjīngwǎngluò,neural
推力,tūilì,thrust
固体火箭,gùtǐhuǒjiàn,rocket
非定常,fēidìngcháng,unsteady
建模,jiànmó,modeling
旋翼,xuányì,rotor
机载,jīzài,airborne
压气机,yāqìjī,compressor
机翼,jīyì,wing
组合,zǔhé,integrated
激波,jībō,shock
导航系统,dǎohángxìtǒng,navigation
航空发动机,hángkōngfādòngjī,aeroengine
飞行器,fēixíngqì,vehicle
航天,hángtiān,space
轨道,gǔidào,orbit
雷达,léidá,radar
边界层,biānjiècéng,boundary
组合导航,zǔhédǎoháng,navigation
陀螺,tuóluó,gyro
民航,mínháng,civil
跟踪,gēnzōng,tracking
转子,zhuǎnzǐ,rotor
飞行员,fēixíngyuán,pilots
雷诺,léinuò,reynolds
格式,géshì,scheme
液体火箭,yètǐhuǒjiàn,rocket
冷却,lěngquè,cooling
天线,tiānxiàn,antenna
数值计算,shùzhíjìsuàn,numerical
进气道,jìnqìdào,inlet
失重,shīzhòng,weightlessness
翼型,yìxíng,airfoil
惯性,guànxìng,inertial
对流,dùilíu,convection
叶栅,yèzhà,cascade
粘性,niánxìng,viscous
绕流,ràolíu,flow
颤振,zhànzhèn,flutter
制导,zhìdǎo,guidance
雷诺数,léinuòshù,reynolds
高超声速,gāochāoshēngsù,hypersonic
卡尔曼,qiǎěrmàn,kalman
边界条件,biānjiètiáojiàn,boundary
燃速,ránsù,rate
鲁棒,lǔbàng,robust
燃烧室,ránshāoshì,combustor
自主,zìzhǔ,autonomous
推进,tūijìn,propulsion
跨音速,kuàyīnsù,transonic
模拟器,mónǐqì,simulator
疲劳寿命,píláoshòumìng,fatigue
空中,kōngzhōng,air
射流,shèlíu,jet
气动力,qìdònglì,aerodynamic
沸腾,fèiténg,boiling
运载火箭,yùnzàihuǒjiàn,launch
压强,yāqiáng,pressure
超声速,chāoshēngsù,supersonic
仿真研究,fǎngzhēnyánjīu,simulation
热流,rèlíu,heat
超音速,chāoyīnsù,supersonic
失速,shīsù,stall
着陆,zháolù,landing
导弹,dǎodàn,missile
载人,zàirén,manned
刚度,gāngdù,stiffness
点火,diǎnhuǒ,ignition
固体推进剂,gùtǐtūijìnjì,propellant
加速度,jiāsùdù,acceleration
旋转,xuánzhuǎn,rotating
模态,mótài,modal
火焰,huǒyàn,flame
航空公司,hángkōnggōngsī,airlines
阻尼,zǔní,damping
接触,jiēhóng,contact
迎角,yíngjiǎo,attack
马赫数,mǎhèshù,mach
阻力,zǔlì,drag
对准,dùizhǔn,alignment
惯导,guàndǎo,navigation
气流,qìlíu,flow
卡尔曼滤波,qiǎěrmànlv̀bō,kalman
壁面,bìmiàn,wall
卫星姿态,wèixīngzītài,attitude
发射,fāshè,launch
数值分析,shùzhífēnxī,numerical
跨声速,kuàshēngsù,transonic
挠性,náoxìng,flexible
再入,zàirù,reentry
无人机,wúrénjī,unmanned
冲击,chōngjí,impact
气动特性,qìdòngtèxìng,aerodynamic
交会,jiāohùi,rendezvous
可靠性分析,kěkàoxìngfēnxī,reliability
攻角,gōngjiǎo,attack
涡扇,wōshàn,turbofan
空中交通,kōngzhōngjiāotōng,air
太阳,tàiyáng,solar
漂移,piāoyí,drift
敏感器,mǐngǎnqì,sensor
燃油,rányóu,fuel
升力,shēnglì,lift
尾迹,wěijī,wake
相机,xiāngjī,camera
轨迹,gǔijī,trajectory
飞控,fēikòng,flight
畸变,jībiàn,distortion
飞机结构,fēijījiégōu,aircraft
涡扇发动机,wōshànfādòngjī,turbofan
飞行试验,fēixíngshìyàn,flight
某型,mǒuxíng,certain
导热,dǎorè,heat
战斗机,zhàndǒujī,fighter
推进系统,tūijìnxìtǒng,propulsion
民用,mínyòng,civil
星座,xīngzuò,constellation
爆震,bàozhèn,detonation
力矩,lìjǔ,moment
微重力,wēizhònglì,microgravity
陀螺仪,tuóluóyí,gyroscope
起落架,qǐluòjià,gear
鲁棒性,lǔbàngxìng,robustness
高度,gāodù,altitude
高空,gāokōng,altitude
