改进,gǎijìn,Improve

不是公开的项目,bùshìgōngkāidexiàngmù,Not a public project

编程,biānchéng,Programming/Coding

语法,yǔfǎ,Grammar

合法,héfǎ,Legal

我需要进一步调查一下,wǒxūyàojìnyībùdiàocháyīxià,I need to investigate further

德州,dézhōu,Texas

种族歧视,zhǒngzúqíshì,Racial discrimination

白人特权,báiréntèquán,white privilege

警察对你特别客气,jǐngchádùinǐtèbiékèqì,The police are very polite to you

试用,shìyòng,Trial

开枪,kāiqiāng,Shoot

被逮捕,bèidàibǔ,arrest

被抓,bèizhuā,Caught

公众,gōngzhòng,Public

数据,shùjù,Data/Numbers

死亡率,sǐwánglv̀,Death Rate

疫苗,yìmiáo,Vaccine

晕倒,yūndǎo,Faint

接受,jiēshòu,Accept

报销,bàoxiāo,Reimbursement

报销租车和酒店的费用,bàoxiāozūchēhéjǐudiàndefèiyòng,Reimbursement for rental cars and hotels

推迟,tūichí,Delayed/Push Back

出差,chūchà,Travel

编程,biānchéng,Programming

自动化,zìdònghuà,Automation

网页,wǎngyè,Web page/Website

我没有动力解决,wǒméiyǒudònglìjiějué,I don't have the motivation to solve it

加强,jiāqiáng,Strengthen

巩固,gǒnggù,Consolidate

强化了他们的看法,qiánghuàletāmendekànfǎ,reinforced their views

平静但是很有力量的感觉,píngjìngdànshìhěnyǒulìliàngdegǎnjué,A calm but powerful feeling

电击,diànjí,Shock

沉重的感觉,chénzhòngdegǎnjué,heavy feeling

我的工作是更重要的,wǒdegōngzuòshìgèngzhòngyàode,My work is more important

重要的,zhòngyàode,Serious matters are important and deserve careful and thoughtful consideration

严肃的,yánsùde,<He's quite a> serious person

他是一个很严肃,tāshìyīgèhěnyánsù,He is very serious

认真的人,rènzhēnderén,serious people

严肃的,yánsùde,Serious

例,lì,Cases

他是一个相当严肃的人,tāshìyīgèxiāngdāngyánsùderén,He is a rather serious man

严重的,yánzhòngde,serious as in:Crime is an increasingly serious problem in Russian society

危急的,wēijíde,Critical

例,lì,Cases

犯罪是俄罗斯社会一个日益严重的问题,fànzùishìéluōsīshèhùiyīgèrìyìyánzhòngdewèntí,Crime is a growing problem in Russian society

例,lì,Cases

政府仍面临着非常严重的困难,zhèngfǔréngmiànlínzháofēichángyánzhòngdekùnnán,The government still faces very serious difficulties

我高中最后一年,wǒgāozhōngzùihòuyīnián,My last year of high school

总的来说,zǒngdeláishuō,Overall

